character,community,degree,betweenness,closeness,pagerank
Maegor-I-Targaryen,3,0.005376344086021506,0.0,0.3292035398230089,0.0009701939295594675
Aegon-I-Targaryen,4,0.010752688172043012,0.0,0.3765182186234818,0.0012537195547415083
Daenerys-Targaryen,4,0.11290322580645162,0.034182477408283875,0.40522875816993464,0.027098612952214246
Aggo,4,0.03225806451612903,0.00045045045045045046,0.2929133858267717,0.0031232700407977875
Drogo,4,0.10215053763440861,0.06894355184677767,0.3795918367346939,0.017471303713488304
Jhogo,4,0.03225806451612903,0.0002906131938390003,0.2929133858267717,0.003209383329599847
Jorah-Mormont,4,0.06989247311827958,0.0627085149665795,0.37424547283702214,0.009229043612874301
Quaro,4,0.02688172043010753,0.009188220478543061,0.29245283018867924,0.00223600085723908
Rakharo,4,0.02688172043010753,0.011795020827278891,0.29245283018867924,0.002504720612304428
Cohollo,4,0.021505376344086023,0.0,0.29199372056514916,0.002531850687874261
Haggo,4,0.03225806451612903,0.0009435241693306203,0.2929133858267717,0.0035857704677453063
Qotho,4,0.03763440860215054,0.00023249055507120023,0.29337539432176657,0.004925115268198659
Doreah,4,0.03225806451612903,0.0008137169427492008,0.2929133858267717,0.0036040076455301595
Eroeh,4,0.005376344086021506,0.0,0.2888198757763975,0.0010621383376151912
Illyrio-Mopatis,4,0.03225806451612903,0.0,0.36904761904761907,0.00449019678986009
Irri,4,0.043010752688172046,0.0004068584713746004,0.2938388625592417,0.005347504086520684
Jhiqui,4,0.02688172043010753,0.0,0.29245283018867924,0.00409447155417547
Mirri-Maz-Duur,4,0.03225806451612903,0.0005231037489102005,0.2929133858267717,0.004312711853028487
Viserys-Targaryen,4,0.043010752688172046,0.0005085730892182505,0.3705179282868526,0.006388478503542282
Jommo,4,0.010752688172043012,0.02138913106655042,0.2763744427934621,0.0014374771716060479
Ogo,4,0.016129032258064516,0.01075268817204301,0.2767857142857143,0.0032558736087467126
Rhaego,4,0.005376344086021506,0.0,0.27555555555555555,0.0010922139552175538
Fogo,4,0.005376344086021506,0.0,0.21703617269544925,0.0014171966154361598
Bran-Stark,5,0.17204301075268819,0.05119326699971862,0.4869109947643979,0.02977004993932226
Rickon-Stark,5,0.048387096774193554,0.028567968890549543,0.4397163120567376,0.005524090590463414
Robb-Stark,5,0.18817204301075272,0.1024018949825402,0.49732620320855614,0.029214217154195955
Rodrik-Cassel,5,0.09677419354838711,0.07667992877670296,0.45365853658536587,0.0075735881485049245
Luwin,5,0.09677419354838711,0.02338467499757824,0.4492753623188406,0.012134361603180124
Theon-Greyjoy,5,0.08064516129032259,0.0528803457835716,0.45036319612590797,0.007943557942757818
Hali,5,0.005376344086021506,0.0,0.328042328042328,0.0009450974416921424
Hallis-Mollen,5,0.02688172043010753,0.0,0.3549618320610687,0.002689225269017739
Hodor,5,0.021505376344086023,0.0,0.3412844036697248,0.0034203460270285885
Hullen,5,0.03225806451612903,0.013905841325196164,0.3516068052930057,0.001928199116606146
Joseth,5,0.010752688172043012,0.0,0.3286219081272085,0.001140092639432134
Nan,5,0.021505376344086023,0.0,0.3412844036697248,0.0024484505820489147
Osha,5,0.016129032258064516,0.0,0.34065934065934067,0.002304170210755251
Rickard-Karstark,5,0.05376344086021506,0.025647583066937905,0.40611353711790393,0.003877275675418593
Rickard-Stark,5,0.010752688172043012,0.0016419645451903517,0.33037300177619894,0.0011864377123489245
Stiv,5,0.010752688172043012,0.0,0.340036563071298,0.0011371216856895284
Jon-Umber-(Greatjon),5,0.043010752688172046,0.004088927637314735,0.3583815028901734,0.003688949797355181
Galbart-Glover,5,0.03225806451612903,0.003823085758569629,0.3835051546391753,0.0022650409773985114
Roose-Bolton,5,0.02688172043010753,0.0006073815751235106,0.3425414364640884,0.002012740699394303
Maege-Mormont,5,0.010752688172043012,0.0,0.290625,0.0014190746274123016
Waymar-Royce,6,0.016129032258064516,0.0005715392812167005,0.3044189852700491,0.004764104127077795
Gared,6,0.016129032258064516,0.010123026252058511,0.2961783439490446,0.004061550660885167
Will-(prologue),6,0.010752688172043012,0.0,0.2363405336721728,0.00437905399072334
Danwell-Frey,7,0.016129032258064516,0.02138913106655042,0.266857962697274,0.0038968348744348614
Hosteen-Frey,7,0.010752688172043012,0.0,0.21112372304199772,0.0033238798195197603
Jared-Frey,7,0.010752688172043012,0.0,0.21112372304199772,0.0033238798195197603
